gamma,seed,participation_rate,max_cum_eps,mean_cum_eps,total_payment,best_acc
3,42,0.38000000000000006,519.1095278799306,283.11727206063915,8550.323849519278,60.96
3,123,0.38000000000000006,502.9457621851534,271.7580575608953,8863.078840396336,61.809999999999995
3,456,0.38000000000000006,509.64716946391627,276.8385082174798,8798.812237409697,60.9
5,42,0.8199999999999998,739.4161011510307,277.92384981356685,30635.97521400297,61.24000000000001
5,123,0.7600000000000001,706.4454937661927,283.5261154944535,27911.48782385616,61.88
5,456,0.7999999999999998,745.1000792670026,290.12010767985777,31987.11465073457,61.17
7,42,0.86,776.7007665978206,287.48590291793437,35251.886757034335,61.019999999999996
7,123,0.9800000000000004,846.6324189515979,297.3346368988937,49780.269645751294,61.919999999999995
7,456,0.86,766.6801040916652,285.90314062908107,36614.02644186018,61.35
10,42,1.0,916.5747139974338,314.8072533242884,56090.51039210734,61.12
10,123,1.0,875.0321143096098,305.42022613823724,54323.20773414026,61.61
10,456,1.0,889.3739995362208,306.99046350680294,55917.167955146535,61.61
